"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","tweetid"
"1539","RT @AceAnimatedBot: Series Source: League Of Legends ",FALSE,0,NA,2017-12-16 07:30:32,FALSE,NA,"941933545286787073",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Josito011",26,TRUE,FALSE,NA,NA,1539
"1540","league of legends",FALSE,0,NA,2017-12-16 07:27:58,FALSE,NA,"941932902266179585",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GjaeAAAAA",0,FALSE,FALSE,NA,NA,1540
"1541","just imagine @DayeanneHutton playing League of Legends and playing as Ashe ",FALSE,1,NA,2017-12-16 07:25:40,FALSE,NA,"941932320478470144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","STMidget",0,FALSE,FALSE,NA,NA,1541
"1542","I did it @CarnivorousCat I beat League of Legends ",FALSE,2,NA,2017-12-16 07:25:04,FALSE,NA,"941932172981628928",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mahadopower",0,FALSE,FALSE,NA,NA,1542
"1543","RT @ASUS_ROG: 3x world champion, #SKTT1 #Faker, has won the Esports Player of the Year award at this year's The Game Awards! --&gt; ",FALSE,0,NA,2017-12-16 07:24:17,FALSE,NA,"941931971982364672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nudevries",156,TRUE,FALSE,NA,NA,1543
"1544","League Of Legends - Livestream: via @YouTube",FALSE,0,NA,2017-12-16 07:23:47,FALSE,NA,"941931848636215297",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","TheUltimate_124",0,FALSE,FALSE,NA,NA,1544
"1545","[Lol Montage] Lee Sin Montage #5 - League of Legends qua @YouTube",FALSE,0,NA,2017-12-16 07:23:02,FALSE,NA,"941931658436939777",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LOL_dfhij",0,FALSE,FALSE,NA,NA,1545
"1546","Hi everyone, I've flatpak'd league of legends. via /r/linux_gaming ",FALSE,0,NA,2017-12-16 07:22:16,FALSE,NA,"941931466405109760",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","philusb",0,FALSE,FALSE,NA,NA,1546
"1547","Gostei de um vdeo @YouTube Never Die (ft. Against The Current) | Worlds 2017 - League of Legends",FALSE,0,NA,2017-12-16 07:19:23,FALSE,NA,"941930739301568512",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","pedrohe59723818",0,FALSE,FALSE,NA,NA,1547
"1548","RT @CBE_GG: PRIZE POOL - 50.000 DDK
@CBE_GG #CBE2018 League of Legends Castle Edition - Tournement structure and qualifications sign up ope",FALSE,0,NA,2017-12-16 07:18:23,FALSE,NA,"941930489228689409",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bjorn_Luthi",3,TRUE,FALSE,NA,NA,1548
"1549","RT @AceAnimatedBot: Series Source: League Of Legends ",FALSE,0,NA,2017-12-16 07:15:18,FALSE,NA,"941929711462207488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheRedSamurai01",26,TRUE,FALSE,NA,NA,1549
"1550","SO IT BEGINS @lol_cris playing League of Legends over at ",FALSE,0,NA,2017-12-16 07:15:01,FALSE,NA,"941929642780393472",NA,"<a href=""https://streamsupport.streamerinsights.com"" rel=""nofollow"">streamsupport_3</a>","streamsupport5",0,FALSE,FALSE,NA,NA,1550
"1551","Welcome to the League of Legends Champion Spotlight Featuring: Lulu, the Furry",FALSE,0,NA,2017-12-16 07:14:49,FALSE,NA,"941929593535115264",NA,"<a href=""http://twitter.com/phreakbot"" rel=""nofollow"">Phreak Bot</a>","PhreakBot",0,FALSE,FALSE,NA,NA,1551
"1552","LEAGUE OF LEGENDS :P COME CHILL AND WATCH US LOSE: via @YouTube",FALSE,1,NA,2017-12-16 07:13:41,FALSE,NA,"941929307131318272",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","ShiftzPlays",0,FALSE,FALSE,NA,NA,1552
